brand,year,fuel,transmission,km_driven,owner,mileage,engine,age,price
Volkswagen,2019,CNG,Manual,73582,First,18.5,1189,7,208881.88
Toyota,2014,Petrol,Automatic,153017,Second,19.9,999,12,84053.4
Maruti,2023,Diesel,Automatic,45780,First,17.4,1150,3,315862.06
Toyota,2023,Petrol,Manual,53133,Second,16.4,1120,3,348359.76
Toyota,2022,Petrol,Manual,53204,First,21.0,1490,4,406663.93
Skoda,2009,Petrol,Manual,205788,Second,20.7,1323,17,38301.79
Mahindra,2015,Diesel,Manual,129798,Second,24.0,996,11,100958.63
Tata,2020,Diesel,Manual,77689,Second,21.2,1177,6,167491.44
Hyundai,2011,CNG,Manual,183977,First,18.6,1541,15,35000.0
Volkswagen,2013,Diesel,Manual,150704,Second,16.5,1166,13,59327.01
Toyota,2020,Petrol,Manual,77323,Second,17.6,1151,6,230285.73
Honda,2008,Petrol,Manual,219198,Fourth,14.4,1167,18,35000.0
Volkswagen,2010,Petrol,Manual,189287,First,21.4,695,16,43248.3
Tata,2020,Petrol,Automatic,67764,Second,18.9,1307,6,208793.24
Mahindra,2018,Petrol,Manual,102680,First,19.4,1812,8,168576.48
Maruti,2006,CNG,Manual,245081,First,17.1,785,20,35000.0
Volkswagen,2006,Petrol,Manual,232083,Fourth,9.5,1393,20,35000.0
Tata,2006,Petrol,Manual,241256,Second,17.4,937,20,35000.0
Ford,2007,Diesel,Automatic,235861,Second,16.0,885,19,35000.0
Tata,2011,Petrol,Automatic,172776,Second,21.7,1434,15,35955.46
Hyundai,2026,Petrol,Manual,1776,First,18.7,1852,0,611965.63
Kia,2025,Petrol,Manual,8712,Second,22.4,1450,1,615183.02
Hyundai,2005,Petrol,Manual,250563,Third,16.5,1811,21,35000.0
Hyundai,2025,Diesel,Automatic,10692,First,19.4,1792,1,657429.29
Ford,2026,Petrol,Manual,4974,Second,16.7,1620,0,436227.04
Maruti,2007,Petrol,Automatic,225378,First,22.0,1488,19,35000.0
Hyundai,2026,Petrol,Manual,3324,Second,18.4,1379,0,560817.81
Mahindra,2025,LPG,Automatic,7274,First,19.3,1722,1,610318.78
Skoda,2015,Petrol,Manual,149688,Third,15.9,993,11,68010.34
Audi,2010,Petrol,Manual,183225,First,25.3,2316,16,257913.54
Mahindra,2012,Diesel,Manual,174218,First,19.7,1168,14,58244.3
Maruti,2008,Petrol,Manual,211557,First,19.9,1654,18,35000.0
Hyundai,2026,CNG,Automatic,11221,First,26.4,1850,0,679681.28
Maruti,2016,Petrol,Manual,129529,First,19.1,1468,10,65851.1
Mercedes,2022,Electric,Automatic,48419,Second,16.8,1263,4,2624334.03
Tata,2024,CNG,Manual,25412,First,19.2,1169,2,293689.5
Honda,2018,Petrol,Manual,95509,First,13.8,1182,8,164610.13
Kia,2010,Petrol,Manual,205951,First,19.8,1589,16,43112.98
Mahindra,2006,Diesel,Manual,238474,Second,22.7,1562,20,35000.0
Maruti,2011,LPG,Manual,175853,Fourth,24.0,1523,15,35000.0
Chevrolet,2006,Diesel,Manual,234781,Second,22.6,1513,20,35000.0
Tata,2010,Diesel,Automatic,175494,First,15.6,1506,16,35000.0
Maruti,2015,Petrol,Automatic,140547,Second,18.9,1382,11,60648.06
Honda,2019,Petrol,Manual,91998,First,13.8,1256,7,194570.15
Tata,2025,Diesel,Manual,22631,First,21.4,1594,1,533068.06
Audi,2025,Diesel,Manual,8338,Second,18.4,1758,1,2939843.69
Hyundai,2026,Petrol,Manual,14210,Third,12.3,600,0,321229.0
Hyundai,2015,Diesel,Manual,126701,Test Drive,18.6,1566,11,97034.3
Maruti,2010,Petrol,Automatic,188850,First,20.1,1206,16,35000.0
Maruti,2010,Diesel,Automatic,173331,First,15.3,1562,16,35000.0
Volkswagen,2023,Diesel,Manual,46828,First,18.4,1006,3,443435.34
Renault,2020,Petrol,Manual,85766,Second,12.5,1437,6,121293.23
Maruti,2009,Diesel,Manual,199728,First,13.7,1071,17,35000.0
Mahindra,2024,Diesel,Manual,21257,Fourth,12.1,1673,2,323095.23
Nissan,2008,Petrol,Manual,232615,First,18.3,1356,18,35000.0
Toyota,2008,Diesel,Manual,209333,First,11.6,600,18,35000.0
Maruti,2011,Petrol,Manual,182781,Second,16.4,1200,15,35000.0
Hyundai,2014,Diesel,Manual,144050,First,28.4,1378,12,86180.36
Kia,2007,Petrol,Manual,231442,Second,14.6,1532,19,35000.0
Maruti,2025,Petrol,Manual,19484,First,10.7,1182,1,289880.76
Audi,2014,Petrol,Manual,120283,First,15.8,2147,12,562693.64
Hyundai,2013,Diesel,Automatic,156795,First,17.7,1576,13,67912.19
Maruti,2020,Diesel,Automatic,64898,Second,23.3,1233,6,206821.32
Honda,2008,Petrol,Automatic,228517,First,16.6,970,18,35000.0
Maruti,2018,Petrol,Manual,76845,Second,14.9,709,8,85934.07
Mahindra,2010,Diesel,Manual,193627,Second,14.0,1547,16,39904.65
Mercedes,2012,Diesel,Automatic,165543,First,15.0,938,14,337532.26
Tata,2015,Petrol,Manual,134674,First,18.2,1032,11,72954.4
Maruti,2010,CNG,Manual,180414,First,17.7,1391,16,35000.0
Mahindra,2005,Electric,Manual,249979,First,19.5,600,21,35000.0
Volkswagen,2015,Petrol,Automatic,125300,First,18.9,1863,11,125155.1
Hyundai,2024,Diesel,Automatic,10785,First,12.9,1151,2,466262.82
MG,2023,Electric,Manual,46195,Second,15.5,1077,3,566509.36
BMW,2015,Petrol,Manual,123725,First,18.9,801,11,494176.39
Audi,2021,Diesel,Manual,71609,First,16.2,1311,5,1702681.99
Ford,2021,Petrol,Manual,70901,Third,13.8,600,5,153533.41
Audi,2024,Diesel,Manual,22480,First,13.5,1502,2,3071582.26
Renault,2011,Diesel,Automatic,177301,First,17.4,1515,15,36709.68
Honda,2015,Petrol,Manual,123170,First,20.3,1411,11,93541.69
Mahindra,2025,Petrol,Manual,11859,Fourth,14.4,1180,1,336660.27
Hyundai,2017,CNG,Manual,114278,Second,19.1,1050,9,74108.62
Hyundai,2012,Petrol,Automatic,171361,First,19.6,1241,14,51504.79
Toyota,2025,Diesel,Automatic,8516,Third,16.1,1576,1,710445.9
Mahindra,2026,Electric,Manual,19616,First,9.0,1010,0,696590.23
Hyundai,2017,Petrol,Manual,106039,First,13.9,1280,9,116203.91
Ford,2006,Petrol,Manual,245179,First,17.9,1545,20,35000.0
Maruti,2007,Petrol,Manual,225192,First,13.9,1266,19,35000.0
Hyundai,2016,Petrol,Manual,122260,First,21.1,900,10,82817.58
Renault,2009,Petrol,Manual,205264,Third,21.1,1582,17,35000.0
Mahindra,2008,Petrol,Manual,201121,Second,18.4,1625,18,35000.0
Maruti,2024,CNG,Manual,15879,Third,26.2,1924,2,281111.61
Skoda,2022,Petrol,Automatic,57997,Second,20.5,1559,4,439875.54
Maruti,2021,Petrol,Manual,73454,Second,24.9,1775,5,182526.13
Mahindra,2012,Petrol,Manual,171175,Second,18.2,844,14,42301.05
Maruti,2017,Diesel,Manual,108353,Third,17.2,921,9,67643.92
Maruti,2026,Diesel,Manual,500,Second,17.5,1648,0,478678.18
Kia,2023,Diesel,Manual,39034,First,23.1,1684,3,515038.94
MG,2010,Petrol,Manual,187376,First,19.0,1123,16,50101.0
